source,company_name,company_slug,batch,website,job_title,location,job_url,apply_url,careers_url,salary_range,job_type,job_source,stage,error
yc_work_at_startup,Corgea,corgea,Summer 2023,https://www.corgea.com/,Software engineer - California,"San Francisco, CA, US / San Mateo, CA, US / Remote (CA, US)",https://www.ycombinator.com/companies/corgea/jobs/Fj7nVVP-software-engineer-california,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D81751&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28862,,$100K - $180K,Full-time,,,
yc_work_at_startup,Corgea,corgea,Summer 2023,https://www.corgea.com/,Software engineer - Jordan,JO / Remote (JO),https://www.ycombinator.com/companies/corgea/jobs/4ikDBbl-software-engineer-jordan,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D81750&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28862,,$17K - $40K,Full-time,,,
yc_work_at_startup,Corgea,corgea,Summer 2023,https://www.corgea.com/,Senior software engineer - Jordan,JO / Remote (JO),https://www.ycombinator.com/companies/corgea/jobs/28hnjyF-senior-software-engineer-jordan,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D69628&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28862,,$20K - $65K,Full-time,,,
yc_work_at_startup,Corgea,corgea,Summer 2023,https://www.corgea.com/,Senior software engineer - California,"San Francisco, CA, US / San Mateo, CA, US / Remote (CA, US)",https://www.ycombinator.com/companies/corgea/jobs/BkQzEJ1-senior-software-engineer-california,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D69626&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=28862,,$120K - $200K,Full-time,,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Enterprise Account Executive,San Francisco,https://jobs.ashbyhq.com/bland/81ce21e6-8b61-4f9c-a602-1cfa7fdbc53f,https://jobs.ashbyhq.com/bland/81ce21e6-8b61-4f9c-a602-1cfa7fdbc53f/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Mid-Market Account Executive,San Francisco,https://jobs.ashbyhq.com/bland/091f9312-b03c-45f8-9640-26a2846d0ae6,https://jobs.ashbyhq.com/bland/091f9312-b03c-45f8-9640-26a2846d0ae6/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Growth Coordinator,San Francisco,https://jobs.ashbyhq.com/bland/d1dcbd1e-a353-4e50-8616-fef444af4cca,https://jobs.ashbyhq.com/bland/d1dcbd1e-a353-4e50-8616-fef444af4cca/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Business Development Representative,San Francisco,https://jobs.ashbyhq.com/bland/55800228-c309-4fc6-99d3-94a7a70d0f7c,https://jobs.ashbyhq.com/bland/55800228-c309-4fc6-99d3-94a7a70d0f7c/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,General Counsel,San Francisco,https://jobs.ashbyhq.com/bland/55811559-29b0-44ee-b7bd-94c605d0a40e,https://jobs.ashbyhq.com/bland/55811559-29b0-44ee-b7bd-94c605d0a40e/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,"Machine Learning Researcher, Audio",San Francisco,https://jobs.ashbyhq.com/bland/d2e08077-61f0-4810-bc72-3efd7944647b,https://jobs.ashbyhq.com/bland/d2e08077-61f0-4810-bc72-3efd7944647b/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,"Machine Learning Engineer, TTS Systems",San Francisco,https://jobs.ashbyhq.com/bland/d8199cb9-04e8-4638-ad03-b93fb189034d,https://jobs.ashbyhq.com/bland/d8199cb9-04e8-4638-ad03-b93fb189034d/application,https://jobs.ashbyhq.com/bland,,,ashby,,
company_careers,Bland AI,bland-ai,Summer 2023,https://bland.com,Forward Deployed Engineer,San Francisco,https://jobs.ashbyhq.com/bland/96cadc65-138f-490a-8709-9eb331bf7d54,https://jobs.ashbyhq.com/bland/96cadc65-138f-490a-8709-9eb331bf7d54/application,https://jobs.ashbyhq.com/bland,,,ashby,,
